id,name,years,genre,nationality,bio,wikipedia,paintings
0,Amedeo Modigliani,1884 - 1920,Expressionism,Italian,Amedeo Clemente Modigliani (Italian pronunciation: [ame?d??o modi???a?ni]; 12 July 1884 – 24 January...,http://en.wikipedia.org/wiki/Amedeo_Modigliani,193
1,Vasiliy Kandinskiy,1866 - 1944,"Expressionism,Abstractionism",Russian,"Wassily Wassilyevich Kandinsky (Russian: ???????? ??????????? ???????????, tr. Vas?liy Vas?l?evich K...",http://en.wikipedia.org/wiki/Wassily_Kandinsky,88
2,Diego Rivera,1886 - 1957,"Social Realism,Muralism",Mexican,Diego Mar?a de la Concepci?n Juan Nepomuceno Estanislao de la Rivera y Barrientos Acosta y Rodr?guez...,http://en.wikipedia.org/wiki/Diego_Rivera,70
3,Claude Monet,1840 - 1926,Impressionism,French,"Oscar-Claude Monet (; French: [klod m?n?]; 14 November 1840 – 5 December 1926) was a French painter,...",http://en.wikipedia.org/wiki/Claude_Monet,73
4,Rene Magritte,1898 - 1967,"Surrealism,Impressionism",Belgian,René François Ghislain Magritte (French: [??ne f???swa ?il?? ma??it]; 21 November 1898 – 15 August 1...,http://en.wikipedia.org/wiki/René_Magritte,194
5,Salvador Dali,1904 - 1989,Surrealism,Spanish,"Salvador Domingo Felipe Jacinto Dal? i Domènech, 1st Marquis of Dal? de P?bol (11 May 1904 – 23 Janu...",http://en.wikipedia.org/wiki/Salvador_Dal?,139
6,Edouard Manet,1832 - 1883,"Realism,Impressionism",French,?douard Manet (US: ; UK: ; French: [edwa? man?]; 23 January 1832 – 30 April 1883) was a French moder...,http://en.wikipedia.org/wiki/?douard_Manet,90
7,Andrei Rublev,1360 - 1430,Byzantine Art,Russian,"Andrei Rublev (Russian: ??????? ??????, IPA: [?n?dr?ej r??bl??f], also transliterated as Andrey Rubl...",http://en.wikipedia.org/wiki/Andrei_Rublev,99
8,Vincent van Gogh,1853 – 1890,Post-Impressionism,Dutch,Vincent Willem van Gogh (Dutch: [?v?ns?nt ???l?m v?? ???x] (listen); 30 March 1853 – 29 July 1890) w...,http://en.wikipedia.org/wiki/Vincent_van_Gogh,877
9,Gustav Klimt,1862 - 1918,"Symbolism,Art Nouveau",Austrian,"Gustav Klimt (July 14, 1862 – February 6, 1918) was an Austrian symbolist painter and one of the mos...",http://en.wikipedia.org/wiki/Gustav_Klimt,117
10,Hieronymus Bosch,1450 - 1516,Northern Renaissance,Dutch,Hieronymus Bosch ( (listen); Dutch: [?ije??ro?nim?z ?b?s] (listen); born Jheronimus van Aken [je??ro...,http://en.wikipedia.org/wiki/Hieronymus_Bosch,137
11,Kazimir Malevich,1879 - 1935,Suprematism,Russian,"Kazimir Severinovich Malevich (February 23 [O.S. 11] 1879 – May 15, 1935) was a Russian avant-garde ...",http://en.wikipedia.org/wiki/Kazimir_Malevich,126
12,Mikhail Vrubel,1856 - 1910,Symbolism,Russian,"Mikhail Aleksandrovich Vrubel (Russian: ??????? ?????????????? ????????; March 17, 1856 – April 14, ...",http://en.wikipedia.org/wiki/Mikhail_Vrubel,171
13,Pablo Picasso,1881 - 1973,Cubism,Spanish,Pablo Ruiz Picasso (; Spanish: [?pa?lo pi?kaso]; 25 October 1881 – 8 April 1973) was a Spanish paint...,http://en.wikipedia.org/wiki/Pablo_Picasso,439
14,Peter Paul Rubens,1577 - 1640,Baroque,Flemish,Sir Peter Paul Rubens (; Dutch: [?ryb?(n)s]; 28 June 1577 – 30 May 1640) was a Flemish artist. He is...,http://en.wikipedia.org/wiki/Peter_Paul_Rubens,141
15,Pierre-Auguste Renoir,1841 - 1919,Impressionism,French,"Pierre-Auguste Renoir, commonly known as Auguste Renoir (; French: [pj?? o?yst ??nwa?]; 25 February ...",http://en.wikipedia.org/wiki/Pierre-Auguste_Renoir,336
16,Francisco Goya,1746 - 1828,Romanticism,Spanish,Francisco José de Goya y Lucientes (; Spanish: [f?an??isko xo?se ?e ??o?a i lu??jentes]; 30 March 17...,http://en.wikipedia.org/wiki/Francisco_Goya,291
17,Frida Kahlo,1907 - 1954,"Primitivism,Surrealism",Mexican,Frida Kahlo de Rivera (Spanish pronunciation: [?f?i?a ?kalo]; born Magdalena Carmen Frida Kahlo y Ca...,http://en.wikipedia.org/wiki/Frida_Kahlo,120
18,El Greco,1541 - 1614,Mannerism,"Spanish,Greek",Doménikos Theotok?poulos (Greek: ????????? ????????????? [?o?minikos ?eoto?kopulos]; October 1541 – ...,http://en.wikipedia.org/wiki/El_Greco,87
19,Albrecht Dürer,1471 - 1528,Northern Renaissance,German,Albrecht Dürer (; German: [??alb??çt ?dy???]; 21 May 1471 – 6 April 1528) sometimes spelt in English...,http://en.wikipedia.org/wiki/Albrecht_Dürer,328
20,Alfred Sisley,1839 - 1899,Impressionism,"French,British",Alfred Sisley (; French: [sisl?]; 30 October 1839 – 29 January 1899) was an Impressionist landscape ...,http://en.wikipedia.org/wiki/Alfred_Sisley,259
21,Pieter Bruegel,1525 - 1569,Northern Renaissance,Flemish,Pieter Bruegel (also Brueghel) the Elder (Dutch: [?pit?r ?br?????]; c. 1525-1530 – 9 September 1569)...,http://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder,134
22,Marc Chagall,1887 - 1985,Primitivism,"French,Jewish,Belarusian",Marc Zakharovich Chagall ( sh?-GAHL; born Moishe Zakharovich Shagal; 6 July [O.S. 24 June] 1887 – 28...,http://en.wikipedia.org/wiki/Marc_Chagall,239
23,Giotto di Bondone,1266 - 1337,Proto Renaissance,Italian,"Giotto di Bondone (Italian pronunciation: [?d??tto di bon?do?ne]; c. 1267 – January 8, 1337), known ...",http://en.wikipedia.org/wiki/Giotto_di_Bondone,119
24,Sandro Botticelli,1445 - 1510,Early Renaissance,Italian,"Alessandro (c. 1445 – May 17, 1510), known as Sandro Botticelli (Italian: [?sandro botti?t??lli]), w...",http://en.wikipedia.org/wiki/Sandro_Botticelli,164
